Description,Price,ReviewCount,Url,Website Source
"Dell 5420 Rugged, Core i5-8350U 1.7GHz, 32GB, 2TB NVMe, 14"" FHD, Win11P64, Webcam, New WD Black SSD, Manufacturer Refurbished",$929.99,,https://www.target.com/p/dell-5420-rugged-core-i5-8350u-1-7ghz-32gb-2tb-nvme-14-fhd-win11p64-webcam-new-wd-black-ssd-manufacturer-refurbished/-/A-93712115#lnk=sametab,Target
"Dell 5410 Laptop, Core i5-10210U 1.6GHz, 16GB, 256GB SSD, 14"" FHD, Win11P64, CAM, Manufacturer Refurbished",$406.99,,https://www.target.com/p/dell-5410-laptop-core-i5-10210u-1-6ghz-16gb-256gb-ssd-14-fhd-win11p64-a-grade-cam-manufacturer-refurbished/-/A-89892598#lnk=sametab,Target
"Dell Precision 5540, Core i7-9850H 2.6GHz, 32GB, 2TB NVMe, 15.6"" UHD, Win11P64, Webcam, Touchscreen, NVIDIA Quadro T1000 4GB, Manufacturer Refurbished",$885.99,,https://www.target.com/p/dell-precision-5540-core-i7-9850h-2-6ghz-32gb-2tb-nvme-15-6-uhd-win11p64-webcam-touch-nvidia-quadro-t1000-4gb-new-wd-black-ssd/-/A-93712130#lnk=sametab,Target
"Dell 14 Rugged 5414 Laptop, Core i5-6300U 2.4GHz, 16GB, 256GB SSD, 14"" HD, Win10P64, CAM, 4G LTE, Manufacturer Refurbished",$754.99,,https://www.target.com/p/dell-14-rugged-5414-laptop-core-i5-6300u-2-4ghz-16gb-256gb-ssd-14-hd-win10p64-a-grade-cam-4g-lte-manufacturer-refurbished/-/A-90553628#lnk=sametab,Target
"Dell Precision 7740 Laptop, Core i7-9850H 2.6GHz, 32GB, 1TB SSD, 17.3"" FHD, Win11P64, CAM, NVIDIA Quadro RTX 3000 6GB, Manufacturer Refurbished","$1,199.99",,https://www.target.com/p/dell-precision-7740-laptop-core-i7-9850h-2-6ghz-32gb-1tb-ssd-17-3-fhd-win11p64-cam-nvidia-quadro-rtx-3000-6gb-manufacturer-refurbished/-/A-89441238#lnk=sametab,Target
"Dell Precision 3551 Laptop, Core i7-10750H 2.6GHz, 32GB, 2TB SSD, 15.6""FHD, Win11P64, CAM, A GRADE, NVIDIA Quadro P620 4GB, Manufacturer Refurbished",$776.99,,https://www.target.com/p/dell-precision-3551-laptop-core-i7-10750h-2-6ghz-32gb-2tb-ssd-15-6-fhd-win11p64-cam-a-grade-nvidia-quadro-p620-4gb-manufacturer-refurbished/-/A-89468820#lnk=sametab,Target
"Dell Precision 7540 Laptop, Core i7-9850H 2.6GHz, 32GB, 2TB SSD, 15.6"" FHD, Win11P64, CAM, NVIDIA Quadro T1000 4GB, Manufacturer Refurbished",$885.99,,https://www.target.com/p/dell-precision-7540-laptop-core-i7-9850h-2-6ghz-32gb-2tb-ssd-15-6-fhd-win11p64-cam-nvidia-quadro-t1000-4gb-manufacturer-refurbished/-/A-89441150#lnk=sametab,Target
"Dell Precision 7530, Core i7-8850H 2.6GHz, 64GB, 2TB NVMe, 15.6"" FHD, Win11P64, Webcam, NVIDIA Quadro P1000 4GB, New WD Black SSD, Manufacturer",$940.99,,https://www.target.com/p/dell-precision-7530-core-i7-8850h-2-6ghz-64gb-2tb-nvme-15-6-fhd-win11p64-webcam-nvidia-quadro-p1000-4gb-new-wd-black-ssd-manufacturer/-/A-93712079#lnk=sametab,Target
"Dell Latitude 5440, Core i7-1365U 3.9GHz, 32GB, 1TB SSD, 14"" FHD, Win11P64, Webcam, Manufacturer Refurbished","$1,062.99",,https://www.target.com/p/dell-latitude-5440-core-i7-1365u-3-9ghz-32gb-1tb-ssd-14-fhd-win11p64-webcam-manufacturer-refurbished/-/A-93712137#lnk=sametab,Target
"Dell Precision 7530 Laptop, Xeon E-2176M 2.7GHz, 32GB, 512GB SSD, 15.6"" FHD, Win11P64, CAM, NVIDIA Quadro P1000 4GB, Manufacturer Refurbished",$634.99,,https://www.target.com/p/dell-precision-7530-laptop-xeon-e-2176m-2-7ghz-32gb-512gb-ssd-15-6-fhd-win11p64-cam-nvidia-quadro-p1000-4gb-manufacturer-refurbished/-/A-89441255#lnk=sametab,Target
